database_id,database_name,parent_page_id,property_name,property_type,description,source_file
DB-001,Opportunités,P-001,Nom de l’opportunité,title,Titre de l’opportunité,opportunites.csv
DB-001,Opportunités,P-001,Date de détection,date,Date de découverte,opportunites.csv
DB-001,Opportunités,P-001,Source,text,Source de veille,opportunites.csv
DB-001,Opportunités,P-001,Lien annonce,url,Lien vers l’annonce,opportunites.csv
DB-001,Opportunités,P-001,Acheteur / client,text,Nom du client ou de l’acheteur,opportunites.csv
DB-001,Opportunités,P-001,Type d’acheteur,select,Type d’acheteur,opportunites.csv
DB-001,Opportunités,P-001,Territoire,text,Zone géographique,opportunites.csv
DB-001,Opportunités,P-001,Objet,text,Objet synthétique,opportunites.csv
DB-001,Opportunités,P-001,Résumé IA,rich_text,Synthèse IA,opportunites.csv
DB-001,Opportunités,P-001,Type d’opportunité,select,Typologie,opportunites.csv
DB-001,Opportunités,P-001,Date limite,date,Date limite de réponse,opportunites.csv
DB-001,Opportunités,P-001,Métiers concernés,multi_select,Métiers sollicités,opportunites.csv
DB-001,Opportunités,P-001,Budget estimé,number,Budget estimé,opportunites.csv
DB-001,Opportunités,P-001,Budget confirmé,number,Budget confirmé,opportunites.csv
DB-001,Opportunités,P-001,Niveau de complexité,select,Niveau de complexité,opportunites.csv
DB-001,Opportunités,P-001,Score Macao,number,Score interne Macao,opportunites.csv
DB-001,Opportunités,P-001,Score Club Com’,number,Score réseau Club Com’,opportunites.csv
DB-001,Opportunités,P-001,Recommandation IA,select,Recommandation IA,opportunites.csv
DB-001,Opportunités,P-001,Décision finale,select,Décision prise,opportunites.csv
DB-001,Opportunités,P-001,Statut,select,Statut du suivi,opportunites.csv
DB-001,Opportunités,P-001,Mode de réponse recommandé,select,Mode conseillé,opportunites.csv
DB-001,Opportunités,P-001,Référent Macao,text,Référent interne,opportunites.csv
DB-001,Opportunités,P-001,Freelances pressentis,text,Freelances à mobiliser,opportunites.csv
DB-001,Opportunités,P-001,Références mobilisables,text,Références utiles,opportunites.csv
DB-001,Opportunités,P-001,Dossier de réponse lié,text,Dossier associé,opportunites.csv
DB-001,Opportunités,P-001,Dossier Drive,url,Lien Drive,opportunites.csv
DB-001,Opportunités,P-001,Date de prochaine action,date,Prochaine échéance,opportunites.csv
DB-001,Opportunités,P-001,Prochaine action,rich_text,Action à mener,opportunites.csv
DB-001,Opportunités,P-001,Notes internes,rich_text,Notes,opportunites.csv
DB-001,Opportunités,P-001,Risques identifiés,rich_text,Risques,opportunites.csv
DB-001,Opportunités,P-001,Pièces demandées,rich_text,Pièces demandées,opportunites.csv
DB-001,Opportunités,P-001,Critères de notation,rich_text,Grille de notation,opportunites.csv
DB-001,Opportunités,P-001,Résultat,select,Résultat final,opportunites.csv
DB-001,Opportunités,P-001,Montant gagné,number,Montant gagné,opportunites.csv
DB-001,Opportunités,P-001,Motif abandon / perte,rich_text,Motif de non-succès,opportunites.csv
DB-002,Freelances & coworkers,P-001,Nom,title,Nom de la personne,freelances_coworkers.csv
DB-002,Freelances & coworkers,P-001,Structure / marque,text,Marque ou structure,freelances_coworkers.csv
DB-002,Freelances & coworkers,P-001,Métier principal,select,Métier principal,freelances_coworkers.csv
DB-002,Freelances & coworkers,P-001,Compétences,multi_select,Compétences,freelances_coworkers.csv
DB-002,Freelances & coworkers,P-001,Portfolio,url,Portfolio,freelances_coworkers.csv
DB-002,Freelances & coworkers,P-001,Site web,url,Site web,freelances_coworkers.csv
